name,pizza_revenue,percentage
The Thai Chicken Pizza,43434.25,5.310719113863059
The Barbecue Chicken Pizza,42768.0,5.229256521332712
The California Chicken Pizza,41409.5,5.063152308270832
The Classic Deluxe Pizza,38180.5,4.668341484585287
The Spicy Italian Pizza,34831.25,4.258827656394267
The Southwest Chicken Pizza,34705.75,4.243482732773166
The Italian Supreme Pizza,33476.75,4.093212524563338
The Hawaiian Pizza,32273.25,3.946060209200826
The Four Cheese Pizza,32265.70000000065,3.9451370683774845
The Sicilian Pizza,30940.5,3.7831044565631955
The Pepperoni Pizza,30161.75,3.6878864544123386
The Greek Pizza,28454.100000000013,3.479091563403787
The Mexicana Pizza,26780.75,3.2744905439506407
The Five Cheese Pizza,26066.5,3.1871589766488757
The Pepper Salami Pizza,25529.0,3.121438686239777
The Italian Capocollo Pizza,25094.0,3.068251102373809
The Vegetables + Vegetables Pizza,24374.75,2.9803081835333547
The Prosciutto and Arugula Pizza,24193.25,2.958116122678933
The Napolitana Pizza,24087.0,2.945124902481786
The Spinach and Feta Pizza,23271.25,2.8453828989446284
The Big Meat Pizza,22968.0,2.808304428123123
"The Pepperoni, Mushroom, and Peppers Pizza",18834.5,2.302900111088687
The Chicken Alfredo Pizza,16900.25,2.0663987683467346
The Chicken Pesto Pizza,16701.75,2.04212811226077
The Soppressata Pizza,16425.75,2.008381507325121
The Italian Vegetables Pizza,16019.25,1.958678627229682
The Calabrese Pizza,15934.25,1.948285651071964
The Spinach Pesto Pizza,15596.0,1.9069277194796335
The Mediterranean Pizza,15360.5,1.878133062007368
The Spinach Supreme Pizza,15277.75,1.8680151940420602
The Green Garden Pizza,13955.75,1.706373847212612
The Brie Carre Pizza,11588.4999999999,1.4169294612201553
